county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng
Brookings,Brookings,Brookings County,46011,SD,South Dakota,44.3697,-96.7904
Wapello,Wapello,Wapello County,19179,IA,Iowa,41.0306,-92.4095
Cowley,Cowley,Cowley County,20035,KS,Kansas,37.2377,-96.8375
Warren,Warren,Warren County,29219,MO,Missouri,38.7646,-91.1607
Fannin,Fannin,Fannin County,48147,TX,Texas,33.5938,-96.1068
Lincoln,Lincoln,Lincoln County,31111,NE,Nebraska,41.0478,-100.7452
Madison,Madison,Madison County,31119,NE,Nebraska,41.9167,-97.6008
Lincoln,Lincoln,Lincoln County,40081,OK,Oklahoma,35.703,-96.8809
Scotland,Scotland,Scotland County,37165,NC,North Carolina,34.8409,-79.4804
Sioux,Sioux,Sioux County,19167,IA,Iowa,43.0826,-96.1779
Silver Bow,Silver Bow,Silver Bow County,30093,MT,Montana,45.9024,-112.6567
Greenbrier,Greenbrier,Greenbrier County,54025,WV,West Virginia,37.947,-80.453
Harris,Harris,Harris County,13145,GA,Georgia,32.736,-84.9089
Clark,Clark,Clark County,55019,WI,Wisconsin,44.7347,-90.6121
Fulton,Fulton,Fulton County,17057,IL,Illinois,40.4728,-90.2075
Steuben,Steuben,Steuben County,18151,IN,Indiana,41.6439,-85.0008
Monroe,Monroe,Monroe County,17133,IL,Illinois,38.2785,-90.1773
Harvey,Harvey,Harvey County,20079,KS,Kansas,38.0432,-97.4272
Lincoln,Lincoln,Lincoln County,23015,ME,Maine,44.0664,-69.5435
Halifax,Halifax,Halifax County,51083,VA,Virginia,36.7669,-78.9366
Seneca,Seneca,Seneca County,36099,NY,New York,42.781,-76.8238
Becker,Becker,Becker County,27005,MN,Minnesota,46.9346,-95.674
Lee,Lee,Lee County,17103,IL,Illinois,41.7461,-89.3003
Lincoln,Lincoln,Lincoln County,28085,MS,Mississippi,31.5324,-90.454
Nicollet,Nicollet,Nicollet County,27103,MN,Minnesota,44.3499,-94.2474
Lincoln,Lincoln,Lincoln County,47103,TN,Tennessee,35.1405,-86.589
Effingham,Effingham,Effingham County,17049,IL,Illinois,39.0598,-88.5899
Pulaski,Pulaski,Pulaski County,51155,VA,Virginia,37.0636,-80.7144
Panola,Panola,Panola County,28107,MS,Mississippi,34.3639,-89.9506
Transylvania,Transylvania,Transylvania County,37175,NC,North Carolina,35.2021,-82.7982
Morgan,Morgan,Morgan County,17137,IL,Illinois,39.7156,-90.2015
Lee,Lee,Lee County,19111,IA,Iowa,40.642,-91.4793
Whitley,Whitley,Whitley County,18183,IN,Indiana,41.1394,-85.5051
Clarendon,Clarendon,Clarendon County,45027,SC,South Carolina,33.6658,-80.2164
